Id,durationOfStay,gender,Age,kids,destinationCode,AcomType
1012375,7,F,37,0,NL,Apt
1007317,5,M,42,0,DK,Apt
1013426,4,M,47,0,DK,Apt
1008991,1,M,40,0,BE,Hotel
1000311,5,M,41,1,ES,Hotel
1002493,4,M,40,1,NL,Apt
1010605,4,M,33,0,UK,Hotel
1012064,9,M,39,0,SE,Hotel
1005342,4,M,36,0,SE,Hotel
1006690,4,M,37,0,NL,Hotel
1005296,1,M,36,1,NL,Apt
1012178,3,M,38,1,ES,Apt
1011743,5,M,43,0,ES,Hotel
1010819,2,M,37,1,NL,Apt
1013549,4,F,41,0,NL,Hotel
1014054,4,M,,1,SE,Hotel
1005779,5,M,38,0,UK,Hotel
1001510,4,F,44,,SE,Apt
1009628,4,M,38,1,NL,Apt
1007483,3,M,41,1,NL,Hotel
1001878,2,M,48,1,IT,Hotel
1012935,6,F,34,0,SE,Apt
1013401,5,M,45,1,BE,Hotel
1008166,4,M,37,1,FI,Apt
1001940,3,M,39,0,FI,Hotel
1007302,9,F,45,1,IT,Hotel
1005541,5,F,34,0,FI,Apt
1006255,5,M,,0,IT,Apt
1001475,9,M,43,0,BE,Apt
1005183,3,M,,0,SE,Apt
1012194,3,M,42,1,DK,Apt
1006829,6,F,37,,ES,Apt
1011736,1,F,41,1,UK,Apt
1011139,4,F,41,1,FI,Apt
1005231,6,F,42,0,,Hotel
1005918,3,F,42,0,UK,Hotel
1004256,6,M,36,,FI,Apt
1001482,1,M,37,0,IT,Hotel
1001974,3,M,42,0,BE,Apt
1013018,2,M,33,0,IT,Hotel
1000014,6,M,38,1,ES,Apt
1000527,8,F,,1,NL,Hotel
1004553,3,F,41,1,IT,Apt
1005292,2,F,40,1,SE,Hotel
1006688,3,M,40,0,SE,Hotel
1010332,5,F,32,1,NL,Hotel
1004951,5,M,34,0,,Hotel
1009282,4,F,41,,SE,Apt
1007289,4,M,33,,BE,Hotel
1013318,2,F,50,1,ES,Apt
1008747,5,M,35,0,DK,Apt
1000106,3,M,,,SE,Hotel
1007065,3,F,38,0,NL,Apt
1007278,8,F,38,0,UK,Apt
1010071,2,F,32,,IT,Hotel
1011582,2,F,39,1,SE,Hotel
1005654,4,M,,1,UK,Apt
1003624,3,F,45,,DK,Hotel
1002041,7,M,46,1,UK,Hotel
1000856,5,F,45,0,NL,Hotel
1001215,4,M,39,0,FI,Hotel
1007569,2,M,43,1,FI,Hotel
1000467,3,F,39,1,,Hotel
1004329,3,M,40,0,IT,Hotel
1012257,3,M,,0,,Hotel
1005765,4,M,42,1,ES,Hotel
1011025,3,F,48,0,IT,Hotel
1012356,4,M,41,0,SE,Apt
1001450,7,F,30,1,,Hotel
1009465,2,M,38,1,ES,Hotel
1001647,2,M,39,1,,Apt
1005170,1,M,45,0,UK,Apt
1003902,5,M,42,0,DK,Hotel
1001529,5,M,37,1,IT,Apt
1004312,4,F,34,1,NL,Apt
1004348,4,M,42,0,UK,Apt
1006580,3,M,36,0,BE,Hotel
1001302,1,F,,1,BE,Hotel
1005940,4,M,36,0,,Hotel
1006532,5,F,,0,ES,Apt
1002556,5,M,42,0,FI,Apt
1007227,5,F,41,1,SE,Apt
1011108,1,F,48,1,DK,Hotel
1010569,5,M,42,0,NL,Apt
1003057,4,M,,0,SE,Hotel
1004792,5,M,,1,BE,Hotel
1013416,6,F,41,1,IT,Apt
1002672,4,F,,0,FI,Apt
1011673,2,F,39,0,BE,Hotel
1011675,4,M,42,1,FI,Hotel
1008706,5,F,43,1,IT,Apt
1007407,2,F,40,0,FI,Apt
1001277,4,M,32,1,ES,Apt
1009641,3,F,40,1,SE,Hotel
1006303,6,M,,1,SE,Hotel
1009689,7,F,,1,NL,Apt
1011916,12,F,38,1,IT,Hotel
1005718,5,M,38,0,IT,Hotel
1002665,3,F,,0,,Hotel
1007418,7,F,43,0,IT,Hotel
1005098,6,F,38,1,ES,Hotel
1000673,8,M,43,1,IT,Hotel
1010717,2,F,41,0,UK,Hotel
1003321,4,F,47,1,NL,Apt
1001984,3,F,49,,ES,Hotel
1004933,6,F,44,1,IT,Apt
1006669,3,F,49,1,NL,Apt
1005685,1,M,35,0,FI,Hotel
1008077,6,M,36,1,UK,Apt
1013772,5,F,36,0,ES,Hotel
1006095,2,F,40,1,NL,Apt
1004299,5,F,39,1,,Hotel
1001429,3,M,38,0,ES,Hotel
1002232,3,F,35,1,IT,Hotel
1009900,5,M,36,1,DK,Apt
1008748,4,F,29,0,SE,Apt
1006036,2,M,40,1,BE,Apt
1008696,6,M,41,0,UK,Hotel
1011367,3,M,35,0,ES,Hotel
1008142,3,F,30,0,UK,Apt
1013967,3,F,46,0,UK,Hotel
1006040,3,M,43,1,FI,Hotel
1000822,2,M,41,1,UK,Hotel
1011247,4,M,34,0,UK,Hotel
1004111,3,F,42,1,NL,Apt
1009106,3,M,46,1,BE,Hotel
1002615,4,M,39,1,ES,Apt
1012084,5,M,42,1,DK,Hotel
1001786,5,M,39,,UK,Apt
1008935,5,M,41,1,FI,Hotel
1003402,5,M,,0,SE,Hotel
1000969,5,M,,1,ES,Apt
1002910,4,F,48,1,SE,Apt
1007528,8,F,42,1,UK,Apt
1006967,3,M,,1,IT,Apt
1003350,2,M,43,0,UK,Apt
1010177,5,M,,1,BE,Apt
1002560,4,M,44,0,DK,Apt
1008725,1,F,41,1,NL,Hotel
1004777,8,M,39,1,NL,Apt
1009947,3,M,45,0,SE,Apt
1005313,3,F,35,1,DK,Hotel
1006112,2,M,43,1,,Hotel
1000304,6,M,38,0,FI,Hotel
1009997,5,M,38,1,SE,Apt
1000585,6,F,,0,ES,Hotel
1007909,7,M,38,0,IT,Hotel
1010825,1,M,31,0,ES,Hotel
1010873,4,M,35,1,IT,Apt
1010265,4,M,,0,ES,Apt
1007201,3,F,29,0,SE,Apt
1000790,4,F,41,1,IT,Apt
1009317,2,M,38,0,FI,Hotel
1004239,2,F,47,0,ES,Hotel
1010767,3,F,42,,IT,Apt
1008563,5,M,44,0,DK,Apt
1011996,2,M,,1,,Hotel
1001718,4,M,46,1,FI,Hotel
1004010,2,M,52,0,,Hotel
1007923,3,F,29,1,DK,Hotel
1001615,6,M,47,0,BE,Hotel
1003445,3,F,41,0,IT,Hotel
1003613,6,F,,,FI,Hotel
1002661,3,F,40,1,IT,Hotel
1003570,3,M,37,1,ES,Apt
1007969,9,M,40,1,UK,Apt
1007974,4,M,,1,SE,Hotel
1003144,4,M,40,0,BE,Hotel
1002669,7,F,46,1,NL,Apt
1006160,3,F,45,1,NL,Apt
1013190,3,F,51,1,IT,Apt
1008405,6,M,39,1,,Apt
1004189,3,M,40,1,BE,Apt
1003374,4,M,43,0,ES,Apt
1011670,5,F,39,1,DK,Hotel
1010529,4,F,45,0,SE,Hotel
1003030,3,F,37,1,SE,Hotel
1007908,4,M,41,1,IT,Apt
1000314,3,F,40,0,UK,Apt
1003783,2,F,37,0,FI,Apt
1008213,3,F,46,0,UK,Hotel
1005029,7,M,32,1,IT,Apt
1008090,2,M,39,1,DK,Apt
1002296,3,F,45,1,IT,Apt
1005586,5,M,39,0,DK,Hotel
1013019,3,M,35,0,UK,Hotel
1005726,6,F,51,1,BE,Hotel
1004966,4,F,40,0,NL,Apt
1013431,5,M,30,0,BE,Hotel
1004387,4,F,47,0,BE,Hotel
1005219,3,F,38,1,IT,Hotel
1000569,3,M,36,0,DK,Apt
1003461,2,M,,0,IT,Hotel
1011184,4,M,32,0,ES,Hotel
1007353,6,M,37,0,DK,Hotel
1000107,4,M,42,1,SE,Hotel
1011895,4,F,,0,,Hotel
1010814,4,F,45,0,NL,Hotel
1001016,3,M,49,,,Hotel
1012149,4,F,42,0,DK,Hotel
1010302,6,F,50,1,,Apt
1012215,3,F,39,0,UK,Hotel
1011833,5,F,42,,,Hotel
1000643,6,M,32,1,SE,Apt
1009833,5,F,37,1,,Hotel
1012196,3,M,39,0,,Hotel
1001349,3,M,37,1,,Apt
1009892,2,M,51,0,DK,Apt
1007359,3,M,44,0,SE,Apt
1002611,4,M,49,1,FI,Hotel
1001520,5,M,35,0,NL,Hotel
1006265,5,F,33,0,SE,Apt
1007037,2,M,,0,,Apt
1006225,8,F,31,1,IT,Hotel
1013402,8,F,47,0,,Hotel
1010253,7,M,39,0,DK,Hotel
1007426,3,F,36,1,BE,Hotel
1012896,4,M,45,1,BE,Hotel
1008040,1,F,36,1,NL,Hotel
1006568,4,F,42,0,BE,Hotel
1000801,3,M,38,1,FI,Apt
1002500,5,F,38,1,ES,Hotel
1000343,2,F,38,0,BE,Hotel
1003150,2,F,41,0,NL,Hotel
1000609,4,M,,1,NL,Apt
1005302,6,F,42,1,NL,Apt
1005820,5,F,38,,IT,Hotel
1003671,7,M,40,1,BE,Apt
1004364,4,M,43,1,FI,Hotel
1008415,6,F,43,0,,Hotel
1004847,2,M,38,0,IT,Apt
1003218,7,F,39,0,,Apt
1012159,5,F,,0,IT,Apt
1012856,6,F,32,1,UK,Hotel
1012394,4,M,37,1,ES,Hotel
1005466,3,F,33,1,FI,Hotel
1001495,7,M,47,0,,Apt
1006823,6,F,,1,NL,Apt
1004279,4,M,,0,ES,Apt
1012115,4,M,51,0,SE,Apt
1001666,2,M,,1,IT,Apt
1008904,6,F,,1,DK,Hotel
1013282,1,F,38,,NL,Hotel
1001020,3,F,47,,BE,Apt
1003164,2,M,37,0,IT,Hotel
1010464,6,F,40,0,IT,Hotel
1000835,4,F,,0,FI,Apt
1013866,5,F,36,1,IT,Hotel
1001994,2,F,,0,IT,Hotel
1000426,2,M,40,0,DK,Hotel
1001287,5,F,36,1,NL,Hotel
1006026,6,M,41,0,NL,Apt
1010219,2,M,48,1,IT,Hotel
1009417,5,F,37,1,NL,Hotel
1002595,7,F,46,0,SE,Apt
1012653,4,M,50,0,BE,Apt
1005209,5,M,40,0,NL,Hotel
1002554,6,F,36,0,BE,Hotel
1005928,5,M,42,1,BE,Hotel
1010428,3,F,38,,ES,Hotel
1008947,7,F,40,1,BE,Hotel
1011360,5,F,39,0,UK,Hotel
1010673,7,F,40,0,NL,Apt
1007420,2,F,46,0,FI,Hotel
1003539,1,M,39,0,UK,Hotel
1009447,5,M,26,0,NL,Hotel
1006317,4,M,36,0,IT,Hotel
1006522,3,M,,1,SE,Apt
1006316,3,M,38,1,DK,Apt
1006008,4,F,35,1,ES,Hotel
1001274,7,M,43,0,NL,Apt
1004860,5,M,44,0,SE,Apt
1002072,4,M,35,0,NL,Hotel
1009395,4,F,35,0,IT,Apt
1001879,5,F,40,1,ES,Hotel
1006618,3,F,,0,ES,Apt
1007024,7,M,,0,FI,Hotel
1012967,3,F,,0,UK,Hotel
1013203,3,F,39,0,UK,Apt
1011775,3,F,,1,UK,Hotel
1006128,3,F,41,0,DK,Hotel
1013880,5,F,40,1,,Hotel
1013066,3,F,42,1,UK,Apt
1008442,3,F,37,,IT,Hotel
1011694,5,F,46,0,BE,Hotel
1002040,8,F,38,1,DK,Hotel
1004458,4,M,35,,UK,Apt
1005290,1,F,40,1,FI,Hotel
1013156,3,M,44,1,ES,Apt
1007421,5,F,45,0,BE,Hotel
1011440,4,M,38,0,ES,Hotel
1002834,5,F,49,1,IT,Apt
1007590,4,F,49,0,DK,Hotel
1013229,4,F,42,1,UK,Apt
1007393,3,F,42,1,UK,Apt
1000194,4,M,34,0,IT,Hotel
1006646,5,F,33,0,DK,Apt
1006581,4,M,45,0,,Apt
1013535,4,F,45,0,ES,Hotel
1012449,7,F,47,0,,Hotel
1001243,2,M,37,1,ES,Apt
1004558,5,M,35,0,IT,Hotel
1003942,2,F,32,0,,Apt
1012221,8,F,45,,IT,Hotel
1002575,5,F,37,0,DK,Hotel
1009811,4,M,35,1,FI,Apt
1005579,1,M,37,1,DK,Apt
1000393,7,F,41,1,FI,Apt
1013760,3,F,,1,DK,Hotel
1008063,1,M,37,1,NL,Apt
1009279,6,M,45,0,FI,Apt
1007684,3,F,37,1,SE,Hotel
1008572,5,F,,1,BE,Hotel
1012126,2,M,41,0,IT,Apt
1002842,7,F,44,1,DK,Apt
1000631,4,F,43,0,,Hotel
1005986,8,F,45,1,NL,Apt
1005676,6,F,40,1,IT,Hotel
1011768,5,M,41,0,ES,Apt
1011573,2,F,45,1,,Apt
1011884,4,M,41,0,NL,Apt
1007334,4,M,31,0,DK,Hotel
1008678,3,F,35,,NL,Apt
1005270,4,F,33,1,ES,Hotel
1003354,5,F,38,1,NL,Apt
1005011,3,F,46,1,SE,Hotel
1000678,6,F,50,0,DK,Hotel
1013458,6,M,,0,NL,Hotel
1003996,6,F,43,1,DK,Apt
1004488,7,M,45,1,NL,Hotel
1001660,6,F,,0,SE,Hotel
1011050,5,M,,1,SE,Apt
1012207,4,M,45,0,SE,Apt
1004451,3,F,44,0,BE,Hotel
1011824,6,M,38,1,UK,Apt
1003678,3,M,43,1,FI,Hotel
1008685,5,M,,1,ES,Apt
1000980,8,M,42,1,,Hotel
1004551,3,F,44,0,SE,Hotel
1006124,3,M,37,1,UK,Apt
1009548,5,F,,1,FI,Hotel
1010984,3,F,35,0,BE,Apt
1005748,3,F,43,,IT,Hotel
1012343,2,F,33,1,FI,Hotel
1007117,2,F,41,,FI,Apt
1013215,3,M,39,1,UK,Apt
1003205,4,M,38,1,FI,Hotel
1006641,5,M,42,0,UK,Apt
1003929,3,F,38,,SE,Apt
1009219,2,F,41,0,BE,Hotel
1003472,1,M,47,0,UK,Apt
1003767,2,F,39,1,IT,Hotel
1012591,4,F,35,,SE,Apt
1000910,5,F,39,0,FI,Hotel
1007727,2,M,40,0,SE,Hotel
1008158,4,M,43,1,SE,Hotel
1012333,1,M,41,0,ES,Apt
1008910,2,M,38,1,UK,Hotel
1006242,4,F,45,0,IT,Hotel
1004247,3,F,42,1,SE,Apt
1005596,4,M,42,1,SE,Hotel
1009257,3,F,38,0,UK,Hotel
1012672,5,F,35,1,ES,Hotel
1000687,5,M,52,0,SE,Hotel
1000902,4,F,41,1,SE,Apt
1011161,4,F,39,1,ES,Hotel
1006364,4,M,44,1,DK,Apt
1012489,4,M,42,1,FI,Hotel
1009607,2,M,52,0,FI,Apt
1005670,4,F,35,1,UK,Hotel
1004844,6,M,48,1,IT,Apt
1007056,4,M,,0,,Apt
1014057,4,M,36,1,UK,Apt
1000043,3,M,49,1,UK,Hotel
1003833,3,F,27,0,DK,Hotel
1013118,3,M,41,1,NL,Apt
1010789,4,F,39,,DK,Hotel
1008098,4,M,30,1,ES,Apt
1002004,8,F,36,0,ES,Apt
1007893,3,F,43,0,IT,Hotel
1010679,2,F,41,0,FI,Hotel
1010838,3,F,,0,FI,Apt
1011452,4,F,39,0,BE,Apt
1002830,5,F,40,1,FI,Apt
1007019,5,M,44,1,DK,Hotel
1003298,4,F,48,0,UK,Hotel
1010620,3,M,41,0,IT,Apt
1001379,4,M,39,1,SE,Apt
1005075,1,M,44,0,DK,Apt
1011553,3,F,38,1,IT,Hotel
1006591,2,F,45,,BE,Hotel
1001138,5,F,37,0,SE,Hotel
1004563,4,F,38,0,,Apt
1000967,5,F,,0,BE,Hotel
1006950,6,M,49,,FI,Hotel
1007318,3,F,47,0,IT,Apt
1003380,2,M,39,0,IT,Hotel
1002408,2,F,40,0,UK,Hotel
1002976,5,M,43,0,ES,Hotel
1003878,1,F,45,0,NL,Hotel
1000555,2,M,33,0,BE,Hotel
1013928,8,F,38,1,FI,Hotel
1006769,3,F,37,0,,Apt
1005167,4,F,34,0,UK,Hotel
1009291,6,M,,0,IT,Apt
1007429,2,M,44,1,NL,Apt
1000057,3,F,,,DK,Hotel
1008247,3,F,45,0,NL,Apt
1003865,4,M,44,1,SE,Hotel
1001235,4,F,36,,UK,Apt
1001909,5,M,46,1,IT,Hotel
1001250,4,M,38,1,BE,Apt
1008637,2,F,42,1,NL,Apt
1001124,6,F,48,1,DK,Hotel
1013919,4,M,46,0,SE,Apt
1005727,5,F,35,1,SE,Hotel
1012028,4,M,41,1,DK,Hotel
1001395,4,M,36,1,UK,Apt
1003167,5,F,38,0,DK,Hotel
1000146,8,M,49,1,BE,Hotel
1011711,4,M,43,1,IT,Hotel
1010345,6,M,46,0,UK,Apt
1010247,7,M,48,1,ES,Hotel
1008758,6,F,38,0,NL,Apt
1003081,2,M,43,,ES,Apt
1000397,4,M,,0,SE,Apt
1005376,2,M,45,1,FI,Hotel
1002529,5,M,49,0,DK,Apt
1007249,8,F,41,,UK,Hotel
1010540,4,F,39,0,ES,Apt
1003926,2,M,38,1,NL,Apt
1004094,5,M,35,1,UK,Hotel
1000754,3,F,50,0,BE,Hotel
1009599,5,F,44,1,ES,Hotel
1007696,3,F,50,1,BE,Apt
1007671,5,F,45,1,NL,Apt
1008504,3,F,36,1,ES,Hotel
1010607,6,M,45,0,BE,Apt
1009945,7,M,38,0,SE,Hotel
1009554,2,M,,0,IT,Apt
1013770,3,F,43,1,BE,Apt
1004976,6,M,36,,NL,Hotel
1003702,5,M,39,0,DK,Hotel
1012579,7,M,38,1,,Hotel
1007014,4,M,43,1,FI,Apt
1010840,3,M,45,1,FI,Hotel
1011176,4,M,,1,,Apt
1001491,3,F,38,0,FI,Hotel
1011446,4,M,39,0,DK,Hotel
1009876,3,F,42,0,SE,Hotel
1001413,7,F,,0,,Apt
1012494,5,F,41,1,DK,Apt
1006304,4,F,32,,NL,Hotel
1000593,7,F,47,1,FI,Apt
1003761,4,F,,0,,Hotel
1007904,4,F,35,0,,Hotel
1006001,1,M,43,,SE,Hotel
1007564,3,M,40,1,NL,Hotel
1002697,5,F,25,1,,Hotel
1009666,4,F,45,0,FI,Apt
1000826,2,M,34,1,SE,Apt
1010894,3,M,27,0,DK,Hotel
1002393,5,F,,1,BE,Hotel
1000832,3,F,31,0,ES,Apt
1000607,3,F,37,1,DK,Apt
1003211,5,F,,,,Hotel
1004963,4,M,41,1,SE,Hotel
1004280,2,F,45,1,,Apt
1007186,2,M,39,0,DK,Apt
1012583,1,F,43,0,FI,Hotel
1001236,3,M,,,SE,Hotel
1013064,4,F,44,1,DK,Apt
1010918,5,M,47,,BE,Hotel
1005687,6,M,42,0,UK,Apt
1000277,3,F,41,1,UK,Apt
1008023,2,F,37,1,,Hotel
1005907,4,F,,0,SE,Hotel
1002770,2,M,44,0,FI,Apt
1010966,2,F,39,1,NL,Hotel
1001331,6,M,48,1,NL,Hotel
1004700,3,F,43,1,DK,Apt
1006121,7,M,,1,ES,Hotel
1001154,3,F,40,0,SE,Apt
1002527,4,F,37,,ES,Hotel
1011621,3,M,32,0,DK,Hotel
1001150,4,F,41,0,IT,Hotel
1008191,4,F,45,1,SE,Apt
1008268,5,M,41,,BE,Hotel
1009578,5,F,,1,BE,Apt
1004679,4,F,39,,BE,Apt
1003031,5,M,45,1,FI,Hotel
1001792,4,F,46,0,NL,Hotel
1000365,3,M,42,1,FI,Hotel
1014070,4,M,50,1,DK,Hotel
1010939,4,M,46,0,UK,Apt
1010955,7,F,46,0,UK,Hotel
1011576,7,F,38,1,,Hotel
1010859,6,M,,,,Hotel
1009694,3,F,37,0,SE,Apt
1004810,4,F,41,1,,Apt
1009261,5,F,51,1,DK,Apt
1013361,6,F,39,1,SE,Hotel
1003439,3,M,39,1,UK,Apt
1012314,1,F,36,0,NL,Apt
1002618,4,F,52,0,FI,Hotel
1006736,8,M,38,1,ES,Hotel
1000210,4,M,41,0,UK,Apt
1005383,4,F,43,0,ES,Hotel
1006534,4,M,43,1,,Hotel
1011935,4,F,36,0,SE,Apt
1010407,4,M,46,0,,Hotel
1000893,4,M,46,1,NL,Hotel
1006458,1,M,43,0,ES,Apt
1010281,1,F,45,1,UK,Hotel
1006793,6,F,41,1,BE,Apt
1007371,5,F,42,1,UK,Apt
1002823,7,F,31,0,IT,Apt
1013763,4,F,35,1,IT,Hotel
1003407,4,F,,0,UK,Apt
1009174,3,F,,0,FI,Hotel
1001062,4,M,37,1,NL,Apt
1012825,3,F,36,0,DK,Hotel
1000504,5,F,41,0,UK,Hotel
1012173,4,M,41,1,ES,Hotel
1012537,2,F,34,1,FI,Apt
1012213,1,F,45,0,SE,Hotel
1002847,5,M,41,1,UK,Hotel
1007073,1,F,37,0,UK,Hotel
1000506,4,M,43,0,UK,Apt
1009902,4,M,35,0,UK,Hotel
1007887,6,M,47,1,FI,Hotel
1002650,7,F,46,0,ES,Hotel
1008264,3,M,28,1,SE,Apt
1005716,3,M,40,1,BE,Apt
1011155,4,F,34,,BE,Hotel
1011861,4,M,49,1,NL,Hotel
1003988,1,F,48,0,UK,Hotel
1013852,5,M,,0,IT,Hotel
1004673,4,F,44,,SE,Apt
1005222,2,F,34,1,UK,Hotel
1004644,3,M,39,0,FI,Hotel
1011914,5,F,,1,BE,Hotel
1008441,5,F,42,1,UK,Apt
1003419,3,F,36,1,UK,Hotel
1003222,3,M,40,0,IT,Apt
1008140,6,F,40,0,IT,Apt
1013151,5,F,46,1,ES,Hotel
1009787,3,F,41,0,,Hotel
1007260,3,M,41,,,Hotel
1005115,3,M,47,1,DK,Hotel
1013718,4,M,32,0,UK,Hotel
1001426,5,F,40,0,SE,Hotel
1009228,5,F,42,0,BE,Hotel
1010968,1,F,,0,DK,Apt
1003560,4,F,38,0,BE,Apt
1011583,5,F,30,0,NL,Apt
1003428,1,M,38,0,DK,Hotel
1010476,2,F,36,1,IT,Hotel
1013893,2,F,32,,IT,Apt
1013180,3,M,37,,,Apt
1004466,6,F,,,NL,Hotel
1013094,4,M,37,0,BE,Hotel
1000144,6,M,39,1,SE,Apt
1002482,2,M,40,,UK,Hotel
1007076,4,F,42,0,,Hotel
1007634,2,M,35,0,BE,Hotel
1000084,1,F,44,,BE,Hotel
1005962,1,M,,1,IT,Hotel
1002449,4,F,43,0,DK,Hotel
1009413,4,M,36,0,UK,Hotel
1011403,2,F,37,1,BE,Hotel
1002951,8,F,37,0,SE,Apt
1003333,4,F,42,0,NL,Hotel
1004306,5,F,,1,UK,Hotel
1011851,3,M,42,0,FI,Apt
1012842,2,F,39,0,UK,Apt
1013925,5,M,46,0,,Apt
1000301,4,F,42,0,NL,Hotel
1007928,4,F,48,,FI,Hotel
1013799,4,F,38,1,DK,Hotel
1007460,4,M,41,1,BE,Hotel
1003494,2,M,44,1,FI,Hotel
1010354,2,F,40,,,Hotel
1012104,2,F,32,0,DK,Apt
1005697,4,M,40,1,IT,Apt
1002782,5,M,46,0,DK,Apt
1000803,4,M,40,0,SE,Hotel
1002837,2,M,,1,FI,Hotel
1002275,4,M,41,0,IT,Apt
1010370,7,F,31,0,FI,Apt
1006826,5,F,45,0,NL,Apt
1000168,2,M,47,0,ES,Apt
1005598,7,F,32,0,BE,Apt
1004729,6,M,42,1,NL,Hotel
1010678,6,F,43,1,ES,Hotel
1009588,6,F,46,,FI,Hotel
1009589,4,F,41,1,IT,Hotel
1002151,3,M,,1,BE,Apt
1010021,4,F,46,1,IT,Apt
1010889,3,F,39,1,FI,Hotel
1003340,5,M,44,1,ES,Hotel
1011596,5,F,36,1,NL,Hotel
1010557,2,M,38,1,BE,Hotel
1013170,7,M,,1,BE,Hotel
1008741,3,M,47,1,FI,Hotel
1006197,6,M,,0,,Hotel
1013329,6,M,45,1,DK,Hotel
1005835,5,M,42,0,BE,Apt
1002792,5,F,52,1,FI,Apt
1011214,3,F,37,1,BE,Hotel
1011119,6,M,,1,SE,Hotel
1004133,7,F,43,1,SE,Apt
1000702,3,F,37,1,BE,Hotel
1011982,5,M,32,1,,Apt
1002179,1,F,45,,SE,Hotel
1004604,5,M,41,0,SE,Apt
1011577,4,F,34,1,SE,Hotel
1006300,3,F,34,1,SE,Hotel
1005580,3,M,32,0,ES,Hotel
1006893,3,F,35,,IT,Hotel
1011822,3,M,42,1,UK,Apt
1003344,1,F,51,1,BE,Apt
1004289,6,M,40,1,UK,Hotel
1007392,2,M,42,1,SE,Hotel
1008184,1,F,48,0,ES,Apt
1000085,3,M,36,0,UK,Hotel
1004215,3,F,41,1,DK,Apt
1008046,5,F,39,0,ES,Apt
1010958,4,F,,0,IT,Hotel
